transaction_id,customer_id,timestamp,amount,origin_country,destination_country,channel,score_decision_tree,risk_level,is_anomaly
TXN00007567,CUST000022,2025-08-30 18:18:57.107482,15182.08,IT,SY,cajero,1.0,MEDIO,1
TXN00009727,CUST000018,2025-08-15 20:00:57.107482,17120.41,FR,FR,web,1.0,MEDIO,1
TXN00001220,CUST000004,2025-08-27 01:53:57.107482,54510.55,DE,GB,web,1.0,MEDIO,1
TXN00002186,CUST000026,2025-11-21 09:58:57.107482,34684.17,FR,PK,cajero,1.0,MEDIO,1
TXN00008357,CUST000035,2025-08-12 18:24:57.107482,45300.01,DE,FR,sucursal,1.0,MEDIO,1
TXN00005746,CUST000020,2025-05-31 12:47:57.107482,1346.38,IT,ES,web,1.0,MEDIO,1
TXN00003880,CUST000019,2025-04-01 13:36:57.107482,43569.57,DE,GB,app,1.0,MEDIO,1
TXN00000829,CUST000015,2025-10-13 13:26:57.107482,65320.06,FR,YE,sucursal,1.0,MEDIO,1
TXN00004165,CUST000017,2025-01-28 11:54:57.107482,15792.28,FR,ES,app,1.0,MEDIO,1
TXN00004679,CUST000021,2025-10-29 21:02:57.107482,796.11,FR,KP,app,1.0,MEDIO,1
TXN00009032,CUST000037,2025-08-30 04:16:57.107482,49404.62,ES,IT,app,1.0,MEDIO,1
TXN00007219,CUST000045,2025-10-24 23:11:57.107482,2796.95,GB,YE,sucursal,1.0,MEDIO,1
TXN00002421,CUST000043,2025-04-26 21:26:57.107482,37368.43,CH,KP,app,1.0,MEDIO,1
TXN00006856,CUST000048,2026-01-04 14:52:57.107482,42961.02,FR,DE,web,1.0,MEDIO,1
TXN00003202,CUST000040,2025-12-01 14:23:57.107482,1459.64,IT,ES,web,1.0,MEDIO,1
TXN00007324,CUST000008,2025-08-08 02:57:57.107482,19278.2,IT,PK,app,1.0,MEDIO,1
TXN00006376,CUST000031,2025-07-07 09:57:57.107482,24290.68,ES,PK,app,1.0,MEDIO,1
TXN00000593,CUST000022,2025-07-03 06:03:57.107482,20947.15,IT,CN,cajero,1.0,MEDIO,1
TXN00003017,CUST000023,2025-09-16 05:18:57.107482,32557.81,FR,NG,cajero,1.0,MEDIO,1
TXN00007039,CUST000025,2025-05-29 10:32:57.107482,23968.68,ES,NG,sucursal,1.0,MEDIO,1
TXN00002143,CUST000036,2025-05-07 09:40:57.003505,4558.85,FR,GB,app,1.0,MEDIO,0
TXN00005153,CUST000019,2025-09-16 14:09:57.107482,57896.59,DE,NG,cajero,1.0,MEDIO,1
TXN00006119,CUST000049,2025-06-12 15:46:57.107482,71113.2,ES,AF,web,1.0,MEDIO,1
TXN00009856,CUST000021,2025-05-31 22:25:57.107482,42234.49,FR,ES,web,1.0,MEDIO,1
TXN00009939,CUST000022,2025-02-07 14:54:57.107482,54590.22,IT,CN,cajero,1.0,MEDIO,1
TXN00006031,CUST000011,2025-07-17 23:42:57.107482,63041.61,ES,FR,cajero,1.0,MEDIO,1
TXN00009853,CUST000015,2025-10-23 13:11:57.107482,79145.66,FR,YE,sucursal,1.0,MEDIO,1
TXN00004976,CUST000049,2025-01-27 10:02:57.107482,8811.4,ES,GB,app,1.0,MEDIO,1
TXN00000533,CUST000008,2025-01-31 02:23:57.107482,20615.84,IT,RU,cajero,1.0,MEDIO,1
TXN00002541,CUST000011,2025-06-14 14:21:57.107482,81442.3,ES,RU,sucursal,1.0,MEDIO,1
TXN00004626,CUST000029,2025-09-16 18:45:57.107482,17580.45,GB,PK,web,1.0,MEDIO,1
TXN00000847,CUST000020,2025-09-27 01:13:57.107482,745.29,IT,CN,cajero,1.0,MEDIO,1
TXN00004993,CUST000002,2025-11-02 11:32:57.107482,54734.15,ES,IR,app,1.0,MEDIO,1
TXN00002503,CUST000002,2025-08-14 04:02:57.107482,22117.05,ES,ES,app,1.0,MEDIO,1
TXN00000654,CUST000017,2025-11-15 22:51:57.107482,37865.03,FR,US,web,1.0,MEDIO,1
TXN00004396,CUST000002,2025-08-12 21:48:57.107482,32136.4,ES,FR,sucursal,1.0,MEDIO,1
TXN00001316,CUST000016,2025-02-16 18:35:57.107482,2459.72,IT,SY,cajero,1.0,MEDIO,1
TXN00003539,CUST000023,2025-09-16 22:50:57.107482,86788.98,FR,ES,web,1.0,MEDIO,1
TXN00003562,CUST000027,2026-01-16 04:47:57.107482,65844.1,FR,IT,cajero,1.0,MEDIO,1
TXN00004123,CUST000038,2025-03-06 11:14:57.107482,5086.6,ES,IT,web,1.0,MEDIO,1
TXN00003422,CUST000037,2025-07-06 00:53:57.107482,69273.25,ES,IT,sucursal,1.0,MEDIO,1
TXN00008960,CUST000023,2025-08-05 05:12:57.107482,44593.59,FR,CN,cajero,1.0,MEDIO,1
TXN00006599,CUST000010,2025-12-20 03:59:57.107482,2005.82,FR,CN,sucursal,1.0,MEDIO,1
TXN00009450,CUST000006,2025-05-04 13:58:57.107482,79055.44,FR,SY,cajero,1.0,MEDIO,1
TXN00004894,CUST000043,2025-08-19 13:55:57.107482,50439.28,CH,US,cajero,1.0,MEDIO,1
TXN00008328,CUST000020,2026-01-05 04:11:57.107482,69036.33,IT,FR,cajero,1.0,MEDIO,1
